-3333,0x8012,GTX EEPROM TEMPLATE,0x20210324,サーボパラメータ
0,2,1665,1,RVS（左→右） 印刷時のCR速度[ips*100]
1,2,40,1,RVS（左→右） 加速時間[msec]
2,2,40,1,RVS（左→右） 減速時間[msec]
3,2,400,1,RVS（左→右） 加減速に必要な距離[キャリッジエンコーダースリット]
4,4,0,1,ucReserve01[0]
5,4,0,1,ucReserve01[1]
6,2,1665,1,FWD（右→左）印刷時のCR速度[ips*100]
7,2,40,1,FWD（右→左）加速時間[msec]
8,2,40,1,FWD（右→左）減速時間[msec]
9,2,400,1,FWD（右→左）加減速に必要な距離[キャリッジエンコーダースリット]
10,4,0,1,ucReserve02[0]
11,4,0,1,ucReserve02[1]
12,1,6,1,ucSpeedErrorUpper;速度エラーにする速度上限(%)
13,1,10,1,ucSpeedErrorLower;速度エラーにする速度下限(%)
14,2,60,1,usStopErrorRange;停止位置エラーにする範囲
15,4,0,1,ulReserveEnd[0]
16,4,0,1,ulReserveEnd[1]
17,4,0,1,ulReserveEnd[2]
18,4,0,1,ulReserveEnd[3]
19,4,0,1,ulReserveEnd[4]
20,4,0,1,ulReserveEnd[5]
21,4,0,1,ulReserveEnd[6]
22,4,0,1,ulReserveEnd[7]
23,4,0,1,ulReserveEnd[8]
24,4,0,1,ulReserveEnd[9]
25,4,0,1,ulReserveEnd[10]
26,4,0,1,ulReserveEnd[11]
27,4,0,1,ulReserveEnd[12]
28,4,0,1,ulReserveEnd[13]
29,4,0,1,ulReserveEnd[14]
30,4,0,1,ulReserveEnd[15]
31,4,0,1,ulReserveEnd[16]
32,4,0,1,ulReserveEnd[17]
33,4,0,1,ulReserveEnd[18]
34,4,0,1,ulReserveEnd[19]
35,4,0,1,ulReserveEnd[20]
36,4,0,1,ulReserveEnd[21]
37,4,0,1,ulReserveEnd[22]
38,4,0,1,ulReserveEnd[23]
39,4,0,1,ulReserveEnd[24]
40,4,0,1,ulReserveEnd[25]
41,4,0,1,ulReserveEnd[26]
42,4,0,1,ulReserveEnd[27]
43,4,0,1,ulReserveEnd[28]
44,4,0,1,ulReserveEnd[29]
45,4,0,1,ulReserveEnd[30]
46,4,0,1,ulReserveEnd[31]
47,4,0,1,ulReserveEnd[32]
48,4,0,1,ulReserveEnd[33]
49,4,0,1,ulReserveEnd[34]
50,4,0,1,ulReserveEnd[35]
51,4,0,1,ulReserveEnd[36]
52,4,0,1,ulReserveEnd[37]
53,4,0,1,ulReserveEnd[38]
54,4,0,1,ulReserveEnd[39]
55,4,0,1,ulReserveEnd[40]
56,4,0,1,ulReserveEnd[41]
57,4,0,1,ulReserveEnd[42]
58,4,0,1,ulReserveEnd[43]
59,4,0,1,ulReserveEnd[44]
60,4,0,1,ulReserveEnd[45]
61,4,0,1,ulReserveEnd[46]
62,4,0,1,ulReserveEnd[47]
63,4,0,1,ulReserveEnd[48]
64,4,0,1,ulReserveEnd[49]
65,4,0,1,ulReserveEnd[50]
66,4,0,1,ulReserveEnd[51]
67,4,0,1,ulReserveEnd[52]
68,4,0,1,ulReserveEnd[53]
69,4,0,1,ulReserveEnd[54]
70,4,0,1,ulReserveEnd[55]
71,4,0,1,ulReserveEnd[56]
72,4,0,1,ulReserveEnd[57]
73,4,0,1,ulReserveEnd[58]
74,4,0,1,ulReserveEnd[59]
75,4,0,1,ulReserveEnd[60]
76,4,0,1,ulReserveEnd[61]
77,4,0,1,ulReserveEnd[62]
78,4,0,1,ulReserveEnd[63]
79,4,0,1,ulReserveEnd[64]
80,4,0,1,ulReserveEnd[65]
81,4,0,1,ulReserveEnd[66]
82,4,0,1,ulReserveEnd[67]
83,4,0,1,ulReserveEnd[68]
84,4,0,1,ulReserveEnd[69]
85,4,0,1,ulReserveEnd[70]
86,4,0,1,ulReserveEnd[71]
87,4,0,1,ulReserveEnd[72]
88,4,0,1,ulReserveEnd[73]
89,4,0,1,ulReserveEnd[74]
90,4,0,1,ulReserveEnd[75]
91,4,0,1,ulReserveEnd[76]
92,4,0,1,ulReserveEnd[77]
93,4,0,1,ulReserveEnd[78]
94,4,0,1,ulReserveEnd[79]
95,4,0,1,ulReserveEnd[80]
96,4,0,1,ulReserveEnd[81]
97,4,0,1,ulReserveEnd[82]
98,4,0,1,ulReserveEnd[83]
99,4,0,1,ulReserveEnd[84]
100,4,0,1,ulReserveEnd[85]
101,4,0,1,ulReserveEnd[86]
102,4,0,1,ulReserveEnd[87]
103,4,0,1,ulReserveEnd[88]
104,4,0,1,ulReserveEnd[89]
105,4,0,1,ulReserveEnd[90]
106,4,0,1,ulReserveEnd[91]
107,4,0,1,ulReserveEnd[92]
108,4,0,1,ulReserveEnd[93]
109,4,0,1,ulReserveEnd[94]
110,4,0,1,ulReserveEnd[95]
111,4,0,1,ulReserveEnd[96]
112,4,0,1,ulReserveEnd[97]
113,4,0,1,ulReserveEnd[98]
114,4,0,1,ulReserveEnd[99]
115,4,0,1,ulReserveEnd[100]
116,4,0,1,ulReserveEnd[101]
117,4,0,1,ulReserveEnd[102]
118,4,0,1,ulReserveEnd[103]
119,4,0,1,ulReserveEnd[104]
120,4,0,1,ulReserveEnd[105]
121,4,0,1,ulReserveEnd[106]
122,4,0,1,ulReserveEnd[107]
123,4,0,1,ulReserveEnd[108]
124,4,0,1,ulReserveEnd[109]
125,4,0,1,ulReserveEnd[110]
126,4,0,1,ulReserveEnd[111]
127,4,0,1,ulReserveEnd[112]
128,4,0,1,ulReserveEnd[113]
129,4,0,1,ulReserveEnd[114]
130,4,0,1,ulReserveEnd[115]
131,4,0,1,ulReserveEnd[116]
132,4,0,1,ulReserveEnd[117]
133,4,0,1,ulReserveEnd[118]
134,4,0,1,ulReserveEnd[119]
135,4,0,1,ulReserveEnd[120]
136,4,0,1,ulReserveEnd[121]
137,4,0,1,ulReserveEnd[122]
138,4,0,1,ulReserveEnd[123]
139,4,0,1,ulReserveEnd[124]
140,4,0,1,ulReserveEnd[125]
141,4,0,1,ulReserveEnd[126]
142,4,0,1,ulReserveEnd[127]
143,4,0,1,ulReserveEnd[128]
144,4,0,1,ulReserveEnd[129]
145,4,0,1,ulReserveEnd[130]
146,4,0,1,ulReserveEnd[131]
147,4,0,1,ulReserveEnd[132]
148,4,0,1,ulReserveEnd[133]
149,4,0,1,ulReserveEnd[134]
150,4,0,1,ulReserveEnd[135]
151,4,0,1,ulReserveEnd[136]
152,4,0,1,ulReserveEnd[137]
153,4,0,1,ulReserveEnd[138]
154,4,0,1,ulReserveEnd[139]
155,4,0,1,ulReserveEnd[140]
156,4,0,1,ulReserveEnd[141]
157,4,0,1,ulReserveEnd[142]
158,4,0,1,ulReserveEnd[143]
159,4,0,1,ulReserveEnd[144]
160,4,0,1,ulReserveEnd[145]
161,4,0,1,ulReserveEnd[146]
162,4,0,1,ulReserveEnd[147]
163,4,0,1,ulReserveEnd[148]
164,4,0,1,ulReserveEnd[149]
165,4,0,1,ulReserveEnd[150]
166,4,0,1,ulReserveEnd[151]
167,4,0,1,ulReserveEnd[152]
168,4,0,1,ulReserveEnd[153]
169,4,0,1,ulReserveEnd[154]
170,4,0,1,ulReserveEnd[155]
171,4,0,1,ulReserveEnd[156]
172,4,0,1,ulReserveEnd[157]
173,4,0,1,ulReserveEnd[158]
174,4,0,1,ulReserveEnd[159]
175,4,0,1,ulReserveEnd[160]
176,4,0,1,ulReserveEnd[161]
177,4,0,1,ulReserveEnd[162]
178,4,0,1,ulReserveEnd[163]
179,4,0,1,ulReserveEnd[164]
180,4,0,1,ulReserveEnd[165]
181,4,0,1,ulReserveEnd[166]
182,4,0,1,ulReserveEnd[167]
183,4,0,1,ulReserveEnd[168]
184,4,0,1,ulReserveEnd[169]
185,4,0,1,ulReserveEnd[170]
186,4,0,1,ulReserveEnd[171]
187,4,0,1,ulReserveEnd[172]
188,4,0,1,ulReserveEnd[173]
189,4,0,1,ulReserveEnd[174]
190,4,0,1,ulReserveEnd[175]
191,4,0,1,ulReserveEnd[176]
192,4,0,1,ulReserveEnd[177]
193,4,0,1,ulReserveEnd[178]
194,4,0,1,ulReserveEnd[179]
195,4,0,1,ulReserveEnd[180]
196,4,0,1,ulReserveEnd[181]
197,4,0,1,ulReserveEnd[182]
198,4,0,1,ulReserveEnd[183]
199,4,0,1,ulReserveEnd[184]
200,4,0,1,ulReserveEnd[185]
201,4,0,1,ulReserveEnd[186]
202,4,0,1,ulReserveEnd[187]
203,4,0,1,ulReserveEnd[188]
204,4,0,1,ulReserveEnd[189]
205,4,0,1,ulReserveEnd[190]
206,4,0,1,ulReserveEnd[191]
207,4,0,1,ulReserveEnd[192]
208,4,0,1,ulReserveEnd[193]
209,4,0,1,ulReserveEnd[194]
210,4,0,1,ulReserveEnd[195]
211,4,0,1,ulReserveEnd[196]
212,4,0,1,ulReserveEnd[197]
213,4,0,1,ulReserveEnd[198]
214,4,0,1,ulReserveEnd[199]
215,4,0,1,ulReserveEnd[200]
216,4,0,1,ulReserveEnd[201]
217,4,0,1,ulReserveEnd[202]
218,4,0,1,ulReserveEnd[203]
219,4,0,1,ulReserveEnd[204]
220,4,0,1,ulReserveEnd[205]
221,4,0,1,ulReserveEnd[206]
222,4,0,1,ulReserveEnd[207]
223,4,0,1,ulReserveEnd[208]
224,4,0,1,ulReserveEnd[209]
225,4,0,1,ulReserveEnd[210]
226,4,0,1,ulReserveEnd[211]
227,4,0,1,ulReserveEnd[212]
228,4,0,1,ulReserveEnd[213]
229,4,0,1,ulReserveEnd[214]
230,4,0,1,ulReserveEnd[215]
231,4,0,1,ulReserveEnd[216]
232,4,0,1,ulReserveEnd[217]
233,4,0,1,ulReserveEnd[218]
234,4,0,1,ulReserveEnd[219]
235,4,0,1,ulReserveEnd[220]
236,4,0,1,ulReserveEnd[221]
237,4,0,1,ulReserveEnd[222]
238,4,0,1,ulReserveEnd[223]
239,1,0,1,ucWipeMotor;ワイプモーター駆動　0：量試、1:商品試作
240,1,0,1,ucReserve03[0]
241,1,0,1,ucReserve03[1]
242,1,0,1,ucReserve03[2]
