-3333,0x8020,GTX EEPROM TEMPLATE,0x20201001,スケジュール
0,4,0,2,時差
1,4,2000/1/1 00:00,3,タイムテーブルチェック番号セット日時
2,1,0,1,タイムテーブル設定 0：無効 1：有効
3,1,0,1,ローカルタイム設定 0：無効 1：有効
4,1,0,1,タイムテーブルチェック番号
5,1,0,1,ucReserve01
6,2,0,0,白インク循環タイムテーブル[0]
7,2,0,0,白インク循環タイムテーブル[1]
8,2,0,0,白インク循環タイムテーブル[2]
9,2,0,0,白インク循環タイムテーブル[3]
10,2,0,0,白インク循環タイムテーブル[4]
11,2,0,0,白インク循環タイムテーブル[5]
12,2,0,0,白インク循環タイムテーブル[6]
13,2,0,0,白インク循環タイムテーブル[7]
14,1,0,0,強化循環実行テーブル設定[0]
15,1,0,0,強化循環実行テーブル設定[1]
16,1,0,0,強化循環実行テーブル設定[2]
17,1,0,0,強化循環実行テーブル設定[3]
18,1,0,0,強化循環実行テーブル設定[4]
19,1,0,0,強化循環実行テーブル設定[5]
20,1,0,0,強化循環実行テーブル設定[6]
21,1,0,0,強化循環実行テーブル設定[7]
22,1,0,1,加湿器のスケジュール設定 0:無効、1:有効
23,1,0,1,加湿終了時間設定 0:未設定、1:前回の印刷から30分後、2:前回の印刷から1時間後、3:前回の印刷から2時間後
24,1,0,1,ucReserve02[0]
25,1,0,1,ucReserve02[1]
26,2,0,0,加湿器のスケジュール[0]　日曜日、開始時間
27,2,0,0,加湿器のスケジュール[0]　日曜日、終了時間
28,2,0,0,加湿器のスケジュール[1]　月曜日、開始時間
29,2,0,0,加湿器のスケジュール[1]　月曜日、終了時間
30,2,0,0,加湿器のスケジュール[2]　火曜日、開始時間
31,2,0,0,加湿器のスケジュール[2]　火曜日、終了時間
32,2,0,0,加湿器のスケジュール[3]　水曜日、開始時間
33,2,0,0,加湿器のスケジュール[3]　水曜日、終了時間
34,2,0,0,加湿器のスケジュール[4]　木曜日、開始時間
35,2,0,0,加湿器のスケジュール[4]　木曜日、終了時間
36,2,0,0,加湿器のスケジュール[5]　金曜日、開始時間
37,2,0,0,加湿器のスケジュール[5]　金曜日、終了時間
38,2,0,0,加湿器のスケジュール[6]　土曜日、開始時間
39,2,0,0,加湿器のスケジュール[6]　土曜日、終了時間
40,4,0,0,ulReserveEnd[0]
41,4,0,0,ulReserveEnd[1]
42,4,0,0,ulReserveEnd[2]
43,4,0,0,ulReserveEnd[3]
44,4,0,0,ulReserveEnd[4]
45,4,0,0,ulReserveEnd[5]
46,4,0,0,ulReserveEnd[6]
47,4,0,0,ulReserveEnd[7]
48,4,0,0,ulReserveEnd[8]
49,4,0,0,ulReserveEnd[9]
50,4,0,0,ulReserveEnd[10]
51,4,0,0,ulReserveEnd[11]
52,4,0,0,ulReserveEnd[12]
53,4,0,0,ulReserveEnd[13]
54,4,0,0,ulReserveEnd[14]
55,4,0,0,ulReserveEnd[15]
56,4,0,0,ulReserveEnd[16]
57,4,0,0,ulReserveEnd[17]
58,4,0,0,ulReserveEnd[18]
59,4,0,0,ulReserveEnd[19]
60,4,0,0,ulReserveEnd[20]
61,4,0,0,ulReserveEnd[21]
62,4,0,0,ulReserveEnd[22]
63,4,0,0,ulReserveEnd[23]
64,4,0,0,ulReserveEnd[24]
65,4,0,0,ulReserveEnd[25]
66,4,0,0,ulReserveEnd[26]
67,4,0,0,ulReserveEnd[27]
68,4,0,0,ulReserveEnd[28]
69,4,0,0,ulReserveEnd[29]
70,4,0,0,ulReserveEnd[30]
71,4,0,0,ulReserveEnd[31]
72,4,0,0,ulReserveEnd[32]
73,4,0,0,ulReserveEnd[33]
74,4,0,0,ulReserveEnd[34]
75,4,0,0,ulReserveEnd[35]
76,4,0,0,ulReserveEnd[36]
77,4,0,0,ulReserveEnd[37]
78,4,0,0,ulReserveEnd[38]
79,4,0,0,ulReserveEnd[39]
80,4,0,0,ulReserveEnd[40]
81,4,0,0,ulReserveEnd[41]
82,4,0,0,ulReserveEnd[42]
83,4,0,0,ulReserveEnd[43]
84,4,0,0,ulReserveEnd[44]
85,4,0,0,ulReserveEnd[45]
86,4,0,0,ulReserveEnd[46]
87,4,0,0,ulReserveEnd[47]
88,4,0,0,ulReserveEnd[48]
89,4,0,0,ulReserveEnd[49]
90,4,0,0,ulReserveEnd[50]
91,4,0,0,ulReserveEnd[51]
92,4,0,0,ulReserveEnd[52]
93,4,0,0,ulReserveEnd[53]
94,4,0,0,ulReserveEnd[54]
95,4,0,0,ulReserveEnd[55]
96,4,0,0,ulReserveEnd[56]
97,4,0,0,ulReserveEnd[57]
98,4,0,0,ulReserveEnd[58]
99,4,0,0,ulReserveEnd[59]
100,4,0,0,ulReserveEnd[60]
101,4,0,0,ulReserveEnd[61]
102,4,0,0,ulReserveEnd[62]
103,4,0,0,ulReserveEnd[63]
104,4,0,0,ulReserveEnd[64]
105,4,0,0,ulReserveEnd[65]
106,4,0,0,ulReserveEnd[66]
107,4,0,0,ulReserveEnd[67]
108,4,0,0,ulReserveEnd[68]
109,4,0,0,ulReserveEnd[69]
110,4,0,0,ulReserveEnd[70]
111,4,0,0,ulReserveEnd[71]
112,4,0,0,ulReserveEnd[72]
113,4,0,0,ulReserveEnd[73]
114,4,0,0,ulReserveEnd[74]
115,4,0,0,ulReserveEnd[75]
116,4,0,0,ulReserveEnd[76]
117,4,0,0,ulReserveEnd[77]
118,4,0,0,ulReserveEnd[78]
119,4,0,0,ulReserveEnd[79]
120,4,0,0,ulReserveEnd[80]
121,4,0,0,ulReserveEnd[81]
122,4,0,0,ulReserveEnd[82]
123,4,0,0,ulReserveEnd[83]
124,4,0,0,ulReserveEnd[84]
125,4,0,0,ulReserveEnd[85]
126,4,0,0,ulReserveEnd[86]
127,4,0,0,ulReserveEnd[87]
128,4,0,0,ulReserveEnd[88]
129,4,0,0,ulReserveEnd[89]
130,4,0,0,ulReserveEnd[90]
131,4,0,0,ulReserveEnd[91]
132,4,0,0,ulReserveEnd[92]
133,4,0,0,ulReserveEnd[93]
134,4,0,0,ulReserveEnd[94]
135,4,0,0,ulReserveEnd[95]
136,4,0,0,ulReserveEnd[96]
137,4,0,0,ulReserveEnd[97]
138,4,0,0,ulReserveEnd[98]
139,4,0,0,ulReserveEnd[99]
140,4,0,0,ulReserveEnd[100]
141,4,0,0,ulReserveEnd[101]
142,4,0,0,ulReserveEnd[102]
143,4,0,0,ulReserveEnd[103]
144,4,0,0,ulReserveEnd[104]
145,4,0,0,ulReserveEnd[105]
146,4,0,0,ulReserveEnd[106]
147,4,0,0,ulReserveEnd[107]
148,4,0,0,ulReserveEnd[108]
149,4,0,0,ulReserveEnd[109]
150,4,0,0,ulReserveEnd[110]
151,4,0,0,ulReserveEnd[111]
152,4,0,0,ulReserveEnd[112]
153,4,0,0,ulReserveEnd[113]
154,4,0,0,ulReserveEnd[114]
155,4,0,0,ulReserveEnd[115]
156,4,0,0,ulReserveEnd[116]
157,4,0,0,ulReserveEnd[117]
158,4,0,0,ulReserveEnd[118]
159,4,0,0,ulReserveEnd[119]
160,4,0,0,ulReserveEnd[120]
161,4,0,0,ulReserveEnd[121]
162,4,0,0,ulReserveEnd[122]
163,4,0,0,ulReserveEnd[123]
164,4,0,0,ulReserveEnd[124]
165,4,0,0,ulReserveEnd[125]
166,4,0,0,ulReserveEnd[126]
167,4,0,0,ulReserveEnd[127]
168,4,0,0,ulReserveEnd[128]
169,4,0,0,ulReserveEnd[129]
170,4,0,0,ulReserveEnd[130]
171,4,0,0,ulReserveEnd[131]
172,4,0,0,ulReserveEnd[132]
173,4,0,0,ulReserveEnd[133]
174,4,0,0,ulReserveEnd[134]
175,4,0,0,ulReserveEnd[135]
176,4,0,0,ulReserveEnd[136]
177,4,0,0,ulReserveEnd[137]
178,4,0,0,ulReserveEnd[138]
179,4,0,0,ulReserveEnd[139]
180,4,0,0,ulReserveEnd[140]
181,4,0,0,ulReserveEnd[141]
182,4,0,0,ulReserveEnd[142]
183,4,0,0,ulReserveEnd[143]
184,4,0,0,ulReserveEnd[144]
185,4,0,0,ulReserveEnd[145]
186,4,0,0,ulReserveEnd[146]
187,4,0,0,ulReserveEnd[147]
188,4,0,0,ulReserveEnd[148]
189,4,0,0,ulReserveEnd[149]
190,4,0,0,ulReserveEnd[150]
191,4,0,0,ulReserveEnd[151]
192,4,0,0,ulReserveEnd[152]
193,4,0,0,ulReserveEnd[153]
194,4,0,0,ulReserveEnd[154]
195,4,0,0,ulReserveEnd[155]
196,4,0,0,ulReserveEnd[156]
197,4,0,0,ulReserveEnd[157]
198,4,0,0,ulReserveEnd[158]
199,4,0,0,ulReserveEnd[159]
200,4,0,0,ulReserveEnd[160]
201,4,0,0,ulReserveEnd[161]
202,4,0,0,ulReserveEnd[162]
203,4,0,0,ulReserveEnd[163]
204,4,0,0,ulReserveEnd[164]
205,4,0,0,ulReserveEnd[165]
206,4,0,0,ulReserveEnd[166]
207,4,0,0,ulReserveEnd[167]
208,4,0,0,ulReserveEnd[168]
209,4,0,0,ulReserveEnd[169]
210,4,0,0,ulReserveEnd[170]
211,4,0,0,ulReserveEnd[171]
212,4,0,0,ulReserveEnd[172]
213,4,0,0,ulReserveEnd[173]
214,4,0,0,ulReserveEnd[174]
215,4,0,0,ulReserveEnd[175]
216,4,0,0,ulReserveEnd[176]
217,4,0,0,ulReserveEnd[177]
218,4,0,0,ulReserveEnd[178]
219,4,0,0,ulReserveEnd[179]
220,4,0,0,ulReserveEnd[180]
221,4,0,0,ulReserveEnd[181]
222,4,0,0,ulReserveEnd[182]
223,4,0,0,ulReserveEnd[183]
224,4,0,0,ulReserveEnd[184]
225,4,0,0,ulReserveEnd[185]
226,4,0,0,ulReserveEnd[186]
227,4,0,0,ulReserveEnd[187]
228,4,0,0,ulReserveEnd[188]
229,4,0,0,ulReserveEnd[189]
230,4,0,0,ulReserveEnd[190]
231,4,0,0,ulReserveEnd[191]
232,4,0,0,ulReserveEnd[192]
233,4,0,0,ulReserveEnd[193]
234,4,0,0,ulReserveEnd[194]
235,4,0,0,ulReserveEnd[195]
236,4,0,0,ulReserveEnd[196]
237,4,0,0,ulReserveEnd[197]
238,4,0,0,ulReserveEnd[198]
239,4,0,0,ulReserveEnd[199]
240,4,0,0,ulReserveEnd[200]
241,4,0,0,ulReserveEnd[201]
242,4,0,0,ulReserveEnd[202]
243,4,0,0,ulReserveEnd[203]
244,4,0,0,ulReserveEnd[204]
245,4,0,0,ulReserveEnd[205]
246,4,0,0,ulReserveEnd[206]
247,4,0,0,ulReserveEnd[207]
248,4,0,0,ulReserveEnd[208]
249,4,0,0,ulReserveEnd[209]
250,4,0,0,ulReserveEnd[210]
251,4,0,0,ulReserveEnd[211]
252,4,0,0,ulReserveEnd[212]
253,4,0,0,ulReserveEnd[213]
254,4,0,0,ulReserveEnd[214]
255,4,0,0,ulReserveEnd[215]
256,4,0,0,ulReserveEnd[216]
