-3333,0x8013,GTX EEPROM TEMPLATE,0x20201001,補正パラメータ
0,2,0,2,CR 印刷原点調整値 ( 1200dpi )
1,1,0,1,ucReserve01[0]
2,1,0,1,ucReserve01[1]
3,2,0,2,CR方向 白とカラーの位置補正(  600dpi )crHeadCWGap[0]
4,2,0,2,CR方向 白とカラーの位置補正( 1200dpi )crHeadCWGap[1]
5,2,0,2,CR方向 白と特色の位置補正( 600dpi )crHeadCPGap[0]
6,2,0,2,CR方向 白と特色の位置補正( 1200dpi )crHeadCPGap[1]
7,2,0,2,CR方向 ヘッド 1/2 間の位置補正( カラー、 600dpi )
8,2,0,2,CR方向 ヘッド 1/2 間の位置補正( カラー、1200dpi )
9,2,0,2,CR方向 ヘッド 1/2 間の位置補正( 白、 600dpi )
10,2,0,2,CR方向 ヘッド 1/2 間の位置補正( 白、1200dpi )
11,2,0,2,CR方向 ヘッド 1/2 間の位置補正( 特色、 600dpi )
12,2,0,2,CR方向 ヘッド 1/2 間の位置補正( 特色、1200dpi )
13,2,11,2,CR方向 正逆方向の位置補正( カラー、ヘッド1、 600dpi )
14,2,16,2,CR方向 正逆方向の位置補正( カラー、ヘッド1、1200dpi )
15,2,11,2,CR方向 正逆方向の位置補正( カラー、ヘッド2、 600dpi )
16,2,16,2,CR方向 正逆方向の位置補正( カラー、ヘッド2、1200dpi )
17,2,11,2,CR方向 正逆方向の位置補正( 白、ヘッド1、 600dpi )
18,2,18,2,CR方向 正逆方向の位置補正( 白、ヘッド1、1200dpi )
19,2,11,2,CR方向 正逆方向の位置補正( 白、ヘッド2、 600dpi )
20,2,18,2,CR方向 正逆方向の位置補正( 白、ヘッド2、1200dpi )
21,2,11,2,CR方向 正逆方向の位置補正( 特色、ヘッド1、 600dpi )
22,2,16,2,CR方向 正逆方向の位置補正( 特色、ヘッド1、1200dpi )
23,2,11,2,CR方向 正逆方向の位置補正( 特色、ヘッド2、 600dpi )
24,2,16,2,CR方向 正逆方向の位置補正( 特色、ヘッド2、1200dpi )
25,4,-1000,2,環境温度（×10℃）調整値iSurTempAdjust
26,2,5,2,LF方向 白とカラーの位置補正(600dpi)pltHeadCWGap[0]
27,2,10,2,LF方向 白とカラーの位置補正(1200dpi)pltHeadCWGap[1]
28,2,5,2,LF方向 白と特色の位置補正(600dpi)pltHeadCPGap[0]
29,2,10,2,LF方向 白と特色の位置補正(1200dpi)pltHeadCPGap[1]
30,2,0,2,LF方向 絶対原点座標の補正値pltOrgCorrect
31,2,0,2,LF方向 絶対原点座標の補正値pltOrgCorrectBak（バックアップ）
32,2,0,1,プラテンモーターの種別(0: ミネベア、1:シナノ)usPlatenMotorType
33,2,0,1,1200dpiのインターレース（0:従来 1:改良テスト）usInterlace1200Type
34,4,0,2,X方向調整値iX_AdjustmentVal
35,4,0,2,Y方向調整値iY_AdjustmentVal
36,4,0,2,K タンク内のインク量の調整値(cc)
37,4,0,2,Y タンク内のインク量の調整値(cc)
38,4,0,2,C タンク内のインク量の調整値(cc)
39,4,0,2,M タンク内のインク量の調整値(cc)
40,4,0,2,W タンク内のインク量の調整値(cc)
41,4,0,2,SP1 タンク内のインク量の調整値(cc)
42,4,0,2,SP2 タンク内のインク量の調整値(cc)
43,4,0,2,洗浄液タンクの量の調整値(cc)
44,4,0,1,ulReserve03
45,4,0,2,係数aの100000倍の値
46,4,0,2,係数bの100000倍の値
47,4,0,2,336 送り時の平均の合い位置の100000倍の値
48,4,0,1,偏心量1の1000倍の値(単位: μm)
49,4,0,1,偏心量1の位相の値(単位: 45度)
50,4,0,1,偏心量2の1000倍の値(単位: μm)(検討中)
51,4,0,1,偏心量2の位相の値(単位: 45度)(検討中)
52,1,0,2,1番目のX方向の白カラー位置合わせ調整値
53,1,0,2,2番目のX方向の白カラー位置合わせ調整値
54,1,0,2,3番目のX方向の白カラー位置合わせ調整値
55,1,0,2,4番目のX方向の白カラー位置合わせ調整値
56,1,0,2,5番目のX方向の白カラー位置合わせ調整値
57,1,0,2,1番目のY方向の白カラー位置合わせ調整値
58,1,0,2,2番目のY方向の白カラー位置合わせ調整値
59,1,0,2,3番目のY方向の白カラー位置合わせ調整値
60,1,0,2,4番目のY方向の白カラー位置合わせ調整値
61,1,0,2,5番目のY方向の白カラー位置合わせ調整値
62,1,0,1,シアンバンディング対策マスク番号(製品版では使用しない)
63,1,0,1,シアンバンディング対策マスクをかけるノズル数(製品版では使用しない)
64,1,0,1,(廃止）着弾のヘッド長の調整値(1/4800inch)での補正量(FWD->RVS時のLF)
65,1,0,2,CRの往復(FWD->RVS)のずれをLF量で補正するためのパラメータ(n:　1/4800inch単位での補正量)
66,1,0,2,CRの往復(RVS->FWD)のずれをLF量で補正するためのパラメータ(n:　1/4800inch単位での補正量)
67,1,0,1,swapFLColor
68,4,0,2,プラテン高さの原点からAポジションまでの調整値
69,4,0,1,加湿器のエンプティ解除後の給水時間[秒]
70,1,0,1,"0: ヘッドAB間のつなぎ目のノズルのマスク強化をする, 1: しない"
71,1,0,1,ucReserve03[0]
72,1,0,1,ucReserve03[1]
73,1,0,1,ucReserve03[2]
74,4,0,1,ulReserveEnd[0]
75,4,0,1,ulReserveEnd[1]
76,4,0,1,ulReserveEnd[2]
77,4,0,1,ulReserveEnd[3]
78,4,0,1,ulReserveEnd[4]
79,4,0,1,ulReserveEnd[5]
80,4,0,1,ulReserveEnd[6]
81,4,0,1,ulReserveEnd[7]
82,4,0,1,ulReserveEnd[8]
83,4,0,1,ulReserveEnd[9]
84,4,0,1,ulReserveEnd[10]
85,4,0,1,ulReserveEnd[11]
86,4,0,1,ulReserveEnd[12]
87,4,0,1,ulReserveEnd[13]
88,4,0,1,ulReserveEnd[14]
89,4,0,1,ulReserveEnd[15]
90,4,0,1,ulReserveEnd[16]
91,4,0,1,ulReserveEnd[17]
92,4,0,1,ulReserveEnd[18]
93,4,0,1,ulReserveEnd[19]
94,4,0,1,ulReserveEnd[20]
95,4,0,1,ulReserveEnd[21]
96,4,0,1,ulReserveEnd[22]
97,4,0,1,ulReserveEnd[23]
98,4,0,1,ulReserveEnd[24]
99,4,0,1,ulReserveEnd[25]
100,4,0,1,ulReserveEnd[26]
101,4,0,1,ulReserveEnd[27]
102,4,0,1,ulReserveEnd[28]
103,4,0,1,ulReserveEnd[29]
104,4,0,1,ulReserveEnd[30]
105,4,0,1,ulReserveEnd[31]
106,4,0,1,ulReserveEnd[32]
107,4,0,1,ulReserveEnd[33]
108,4,0,1,ulReserveEnd[34]
109,4,0,1,ulReserveEnd[35]
110,4,0,1,ulReserveEnd[36]
111,4,0,1,ulReserveEnd[37]
112,4,0,1,ulReserveEnd[38]
113,4,0,1,ulReserveEnd[39]
114,4,0,1,ulReserveEnd[40]
115,4,0,1,ulReserveEnd[41]
116,4,0,1,ulReserveEnd[42]
117,4,0,1,ulReserveEnd[43]
118,4,0,1,ulReserveEnd[44]
119,4,0,1,ulReserveEnd[45]
120,4,0,1,ulReserveEnd[46]
121,4,0,1,ulReserveEnd[47]
122,4,0,1,ulReserveEnd[48]
123,4,0,1,ulReserveEnd[49]
124,4,0,1,ulReserveEnd[50]
125,4,0,1,ulReserveEnd[51]
126,4,0,1,ulReserveEnd[52]
127,4,0,1,ulReserveEnd[53]
128,4,0,1,ulReserveEnd[54]
129,4,0,1,ulReserveEnd[55]
130,4,0,1,ulReserveEnd[56]
131,4,0,1,ulReserveEnd[57]
132,4,0,1,ulReserveEnd[58]
133,4,0,1,ulReserveEnd[59]
134,4,0,1,ulReserveEnd[60]
135,4,0,1,ulReserveEnd[61]
136,4,0,1,ulReserveEnd[62]
137,4,0,1,ulReserveEnd[63]
138,4,0,1,ulReserveEnd[64]
139,4,0,1,ulReserveEnd[65]
140,4,0,1,ulReserveEnd[66]
141,4,0,1,ulReserveEnd[67]
142,4,0,1,ulReserveEnd[68]
143,4,0,1,ulReserveEnd[69]
144,4,0,1,ulReserveEnd[70]
145,4,0,1,ulReserveEnd[71]
146,4,0,1,ulReserveEnd[72]
147,4,0,1,ulReserveEnd[73]
148,4,0,1,ulReserveEnd[74]
149,4,0,1,ulReserveEnd[75]
150,4,0,1,ulReserveEnd[76]
151,4,0,1,ulReserveEnd[77]
152,4,0,1,ulReserveEnd[78]
153,4,0,1,ulReserveEnd[79]
154,4,0,1,ulReserveEnd[80]
155,4,0,1,ulReserveEnd[81]
156,4,0,1,ulReserveEnd[82]
157,4,0,1,ulReserveEnd[83]
158,4,0,1,ulReserveEnd[84]
159,4,0,1,ulReserveEnd[85]
160,4,0,1,ulReserveEnd[86]
161,4,0,1,ulReserveEnd[87]
162,4,0,1,ulReserveEnd[88]
163,4,0,1,ulReserveEnd[89]
164,4,0,1,ulReserveEnd[90]
165,4,0,1,ulReserveEnd[91]
166,4,0,1,ulReserveEnd[92]
167,4,0,1,ulReserveEnd[93]
168,4,0,1,ulReserveEnd[94]
169,4,0,1,ulReserveEnd[95]
170,4,0,1,ulReserveEnd[96]
171,4,0,1,ulReserveEnd[97]
172,4,0,1,ulReserveEnd[98]
173,4,0,1,ulReserveEnd[99]
174,4,0,1,ulReserveEnd[100]
175,4,0,1,ulReserveEnd[101]
176,4,0,1,ulReserveEnd[102]
177,4,0,1,ulReserveEnd[103]
178,4,0,1,ulReserveEnd[104]
179,4,0,1,ulReserveEnd[105]
180,4,0,1,ulReserveEnd[106]
181,4,0,1,ulReserveEnd[107]
182,4,0,1,ulReserveEnd[108]
183,4,0,1,ulReserveEnd[109]
184,4,0,1,ulReserveEnd[110]
185,4,0,1,ulReserveEnd[111]
186,4,0,1,ulReserveEnd[112]
187,4,0,1,ulReserveEnd[113]
188,4,0,1,ulReserveEnd[114]
189,4,0,1,ulReserveEnd[115]
190,4,0,1,ulReserveEnd[116]
191,4,0,1,ulReserveEnd[117]
192,4,0,1,ulReserveEnd[118]
193,4,0,1,ulReserveEnd[119]
194,4,0,1,ulReserveEnd[120]
195,4,0,1,ulReserveEnd[121]
196,4,0,1,ulReserveEnd[122]
197,4,0,1,ulReserveEnd[123]
198,4,0,1,ulReserveEnd[124]
199,4,0,1,ulReserveEnd[125]
200,4,0,1,ulReserveEnd[126]
201,4,0,1,ulReserveEnd[127]
202,4,0,1,ulReserveEnd[128]
203,4,0,1,ulReserveEnd[129]
204,4,0,1,ulReserveEnd[130]
205,4,0,1,ulReserveEnd[131]
206,4,0,1,ulReserveEnd[132]
207,4,0,1,ulReserveEnd[133]
208,4,0,1,ulReserveEnd[134]
209,4,0,1,ulReserveEnd[135]
210,4,0,1,ulReserveEnd[136]
211,4,0,1,ulReserveEnd[137]
212,4,0,1,ulReserveEnd[138]
213,4,0,1,ulReserveEnd[139]
214,4,0,1,ulReserveEnd[140]
215,4,0,1,ulReserveEnd[141]
216,4,0,1,ulReserveEnd[142]
217,4,0,1,ulReserveEnd[143]
218,4,0,1,ulReserveEnd[144]
219,4,0,1,ulReserveEnd[145]
220,4,0,1,ulReserveEnd[146]
221,4,0,1,ulReserveEnd[147]
222,4,0,1,ulReserveEnd[148]
223,4,0,1,ulReserveEnd[149]
224,4,0,1,ulReserveEnd[150]
225,4,0,1,ulReserveEnd[151]
226,4,0,1,ulReserveEnd[152]
227,4,0,1,ulReserveEnd[153]
