-3333,0x8016,GTX EEPROM TEMPLATE,0x20201001,ヘッド波形（標準インク）
0,1,0,1,カラー   600dpi 小玉
1,1,0,1,カラー   600dpi 小玉
2,1,0,1,カラー   600dpi 小玉
3,1,0,1,カラー   600dpi 小玉
4,1,0,1,カラー   600dpi 小玉
5,1,0,1,カラー   600dpi 小玉
6,1,0,1,カラー   600dpi 小玉
7,1,0,1,カラー   600dpi 小玉
8,1,0,1,カラー   600dpi 小玉
9,1,0,1,カラー   600dpi 小玉
10,1,0,1,カラー   600dpi 小玉
11,1,0,1,カラー   600dpi 小玉
12,1,0,1,カラー   600dpi 小玉
13,1,0,1,カラー   600dpi 小玉
14,1,0,1,カラー   600dpi 小玉
15,1,0,1,カラー   600dpi 小玉
16,1,0,1,カラー   600dpi 小玉
17,1,0,1,カラー   600dpi 小玉
18,1,0,1,カラー   600dpi 小玉
19,1,0,1,カラー   600dpi 小玉
20,1,0,1,カラー   600dpi 小玉
21,1,0,1,カラー   600dpi 小玉
22,1,0,1,カラー   600dpi 小玉
23,1,0,1,カラー   600dpi 小玉
24,1,0,1,カラー   600dpi 中玉
25,1,0,1,カラー   600dpi 中玉
26,1,0,1,カラー   600dpi 中玉
27,1,0,1,カラー   600dpi 中玉
28,1,0,1,カラー   600dpi 中玉
29,1,0,1,カラー   600dpi 中玉
30,1,0,1,カラー   600dpi 中玉
31,1,0,1,カラー   600dpi 中玉
32,1,0,1,カラー   600dpi 中玉
33,1,0,1,カラー   600dpi 中玉
34,1,0,1,カラー   600dpi 中玉
35,1,0,1,カラー   600dpi 中玉
36,1,0,1,カラー   600dpi 中玉
37,1,0,1,カラー   600dpi 中玉
38,1,0,1,カラー   600dpi 中玉
39,1,0,1,カラー   600dpi 中玉
40,1,0,1,カラー   600dpi 中玉
41,1,0,1,カラー   600dpi 中玉
42,1,0,1,カラー   600dpi 中玉
43,1,0,1,カラー   600dpi 中玉
44,1,0,1,カラー   600dpi 中玉
45,1,0,1,カラー   600dpi 中玉
46,1,0,1,カラー   600dpi 中玉
47,1,0,1,カラー   600dpi 中玉
48,1,0,1,カラー   600dpi 大玉
49,1,0,1,カラー   600dpi 大玉
50,1,0,1,カラー   600dpi 大玉
51,1,0,1,カラー   600dpi 大玉
52,1,0,1,カラー   600dpi 大玉
53,1,0,1,カラー   600dpi 大玉
54,1,0,1,カラー   600dpi 大玉
55,1,0,1,カラー   600dpi 大玉
56,1,0,1,カラー   600dpi 大玉
57,1,0,1,カラー   600dpi 大玉
58,1,0,1,カラー   600dpi 大玉
59,1,0,1,カラー   600dpi 大玉
60,1,0,1,カラー   600dpi 大玉
61,1,0,1,カラー   600dpi 大玉
62,1,0,1,カラー   600dpi 大玉
63,1,0,1,カラー   600dpi 大玉
64,1,0,1,カラー   600dpi 大玉
65,1,0,1,カラー   600dpi 大玉
66,1,0,1,カラー   600dpi 大玉
67,1,0,1,カラー   600dpi 大玉
68,1,0,1,カラー   600dpi 大玉
69,1,0,1,カラー   600dpi 大玉
70,1,0,1,カラー   600dpi 大玉
71,1,0,1,カラー   600dpi 大玉
72,1,0,1,カラー   600dpi ロング
73,1,0,1,カラー   600dpi ロング
74,1,0,1,カラー   600dpi ロング
75,1,0,1,カラー   600dpi ロング
76,1,0,1,カラー   600dpi ロング
77,1,0,1,カラー   600dpi ロング
78,1,0,1,カラー   600dpi ロング
79,1,0,1,カラー   600dpi ロング
80,1,0,1,カラー   600dpi ロング
81,1,0,1,カラー   600dpi ロング
82,1,0,1,カラー   600dpi ロング
83,1,0,1,カラー   600dpi ロング
84,1,0,1,カラー   600dpi ロング
85,1,0,1,カラー   600dpi ロング
86,1,0,1,カラー   600dpi ロング
87,1,0,1,カラー   600dpi ロング
