-3333,0x8018,GTX EEPROM TEMPLATE,0x20201005,ステータス情報
0,4,0,1,白循環実行中フラグ
1,4,0,1,部品交換/掃除 実行中フラグ
2,4,0,1,終業パージ実行フラグ 0:未実行、1:実行済み、2:閉空吸引済み
3,4,0,0,エラー、ワーニングが発生している定期メンテ部品フラグ
4,1,0,0,初期インク導入済みヘッド
5,1,0,1,テクニカル保守点検メニュー表示　0：未実行　1：2万5千　2：5万　3：7万5千　4：10万
6,1,0,1,前回のテクニカル保守点検の種類　0：未実行　1：2万5千　2：5万　3：7万5千　4：10万
7,1,0,1,ucReserve01
8,1,0,1,プリンタ輸送準備フラグ 0:通常モード 1:輸送準備完了
9,1,0,1,メンテカム動作状態フラグ
10,1,0,1,ＣＲスピード調整時のオートパージ後のオートパージフラグ　0:CRスピード調整時にAP実行済み 1:印刷実行時にAPが必要
11,1,0,1,シアンヨレ対策のオートパージ 0:未実行 1:実行済み
12,1,0,1,白ヘッド洗浄動作確認フラグ 1:白ヘッド洗浄後 0:白ヘッド未洗浄
13,1,0,1,アンキャップ電源ONによるオートパージフラグ
14,1,0,0,フィルタ交換実行中フラグ 0x01=白１、0x02=白２、0x04=白３、0x08=白４、0x10=ブラック、0x20=イエロー、0x40=シアン、0x80=マゼンタ
15,1,0,1,電源断フラグ　0：強制電源OFF　1：ソフトSWによる電源OFF
16,1,0,1,ucReserve02[0]
17,1,0,1,ucReserve02[1]
18,1,0,1,ヘッド交換時のキャッピングパウチ仕様フラグ 0:未使用、1:使用
19,1,0,0,起動時ワイパークリーナー、フラッシングフォーム、ファンフィルターセットビット
20,1,0,1,インク残量退避フラグ [0]:K
21,1,0,1,インク残量退避フラグ [1]:Y
22,1,0,1,インク残量退避フラグ [2]:C
23,1,0,1,インク残量退避フラグ [3]:M
24,1,0,1,インク残量退避フラグ [4]:W12
25,1,0,1,インク残量退避フラグ [5]:W34
26,1,0,1,インクカートリッジ残量退避（センサー残量） [0]:K
27,1,0,1,インクカートリッジ残量退避（センサー残量） [1]:Y
28,1,0,1,インクカートリッジ残量退避（センサー残量） [2]:C
29,1,0,1,インクカートリッジ残量退避（センサー残量） [3]:M
30,1,0,1,インクカートリッジ残量退避（センサー残量） [4]:W12
31,1,0,1,インクカートリッジ残量退避（センサー残量） [5]:W34
32,4,0,1,パウチ巻取り不良確認用使用量 [0]:W12
33,4,0,1,パウチ巻取り不良確認用使用量 [1]:W34
34,1,0,1,パウチ巻取り不良エラー発生 [0]:W12
35,1,0,1,パウチ巻取り不良エラー発生 [1]:W34
36,1,0,1,パウチ総容量 [0]:W12
37,1,0,1,パウチ総容量 [1]:W34
38,1,0,0,白インクカートリッジセンサ退避　W12
39,1,0,0,白インクカートリッジセンサ退避  W34
40,1,0,1,低温時の樹幹実行フラグ　0:実行なし、1:低温時循環あり
41,1,0,1,強化循環実行確認　0:未実行、1:実行中（強化循環キャンセル含む）
42,4,0,1,次回の白循環実行時間
43,4,2000/1/1 00:00,3,ポリ印刷機能利用終了日時
44,1,0,1,加湿器初期導入済み 0:未導入、1:導入済み
45,1,0,1,初期インク導入前メンテナンス部品セット 0:未セット、1:セット
46,1,0,1,ucReserve[0]
47,1,0,1,ucReserve[1]
48,4,0,1,タンク残量基準値 ブラック
49,4,0,1,タンク残量基準値 イエロー
50,4,0,1,タンク残量基準値 シアン
51,4,0,1,タンク残量基準値 マゼンタ
52,4,0,1,タンク残量基準値 白
53,4,0,1,タンク残量基準値 SP1
54,4,0,1,タンク残量基準値 SP2
55,4,0,1,タンク残量基準値 洗浄液
56,1,0,0,インク補充中　0x01:ブラック、0x02:イエロー、0x04:シアン、0x08:マゼンタ、0x10:白、0x20:SP1、0x40:SP2、0x80:洗浄液
57,1,0,1,ucReserve1[0]
58,1,0,1,ucReserve1[1]
59,1,0,1,ucReserve1[2]
60,1,0,1,タンクエンプティの補正済み ブラック　0:未補正、またはインクが補充された、1:補正済み、補正からエンプティが解除されていない
61,1,0,1,タンクエンプティの補正済み イエロー　0:未補正、またはインクが補充された、1:補正済み、補正からエンプティが解除されていない
62,1,0,1,タンクエンプティの補正済み シアン　0:未補正、またはインクが補充された、1:補正済み、補正からエンプティが解除されていない
63,1,0,1,タンクエンプティの補正済み マゼンタ　0:未補正、またはインクが補充された、1:補正済み、補正からエンプティが解除されていない
64,1,0,1,タンクエンプティの補正済み 白　0:未補正、またはインクが補充された、1:補正済み、補正からエンプティが解除されていない
65,1,0,1,タンクエンプティの補正済み SP1　0:未補正、またはインクが補充された、1:補正済み、補正からエンプティが解除されていない
66,1,0,1,タンクエンプティの補正済み SP2　0:未補正、またはインクが補充された、1:補正済み、補正からエンプティが解除されていない
67,1,0,1,タンクエンプティの補正済み 洗浄液　0:未補正、またはインクが補充された、1:補正済み、補正からエンプティが解除されていない
68,1,0,1, ヘッド交換実行中フラグ（白1） 1:ヘッド交換実行  0:ヘッド交換未実行
69,1,0,1, ヘッド交換実行中フラグ（白2） 1:ヘッド交換実行  0:ヘッド交換未実行
70,1,0,1, ヘッド交換実行中フラグ（カラー1） 1:ヘッド交換実行  0:ヘッド交換未実行
71,1,0,1, ヘッド交換実行中フラグ（カラー2） 1:ヘッド交換実行  0:ヘッド交換未実行
72,1,0,1, ヘッド交換実行中フラグ（SP1） 1:ヘッド交換実行  0:ヘッド交換未実行
73,1,0,1, ヘッド交換実行中フラグ（SP2） 1:ヘッド交換実行  0:ヘッド交換未実行
74,1,0,1,ucReserve05[0]
75,1,0,1,ucReserve05[1]
76,4,0,1,ulReserve06
77,8,0,1,ICスティック減算値 ブラック（ICスティック書き込み後の残り減算値）
78,8,0,1,ICスティック減算値 イエロー（ICスティック書き込み後の残り減算値）
79,8,0,1,ICスティック減算値 シアン（ICスティック書き込み後の残り減算値）
80,8,0,1,ICスティック減算値 マゼンタ（ICスティック書き込み後の残り減算値）
81,8,0,1,ICスティック減算値 白（ICスティック書き込み後の残り減算値）
82,8,0,1,ICスティック減算値 SP1（ICスティック書き込み後の残り減算値）
83,8,0,1,ICスティック減算値 SP2（ICスティック書き込み後の残り減算値）
84,8,0,1,ICスティック減算値 洗浄液（ICスティック書き込み後の残り減算値）
85,4,0,1,インクタンク補充時の増加量 ブラック
86,4,0,1,インクタンク補充時の増加量 イエロー
87,4,0,1,インクタンク補充時の増加量 シアン
88,4,0,1,インクタンク補充時の増加量 マゼンタ
89,4,0,1,インクタンク補充時の増加量 白
90,4,0,1,インクタンク補充時の増加量 SP1
91,4,0,1,インクタンク補充時の増加量 SP2
92,4,0,1,インクタンク補充時の増加量 洗浄液
