-3333,0x8015,GTX EEPROM TEMPLATE,0x20201001,デバイス情報
0,4,0,1,組み立て中フラグulProductStatusFlag
1,4,353725368,1,EEPROM設定値のバックアップキーulEepromBackupKey
2,1,0x42,0,製品18桁コードucProduct18Code[0]
3,1,0x47,0,製品18桁コードucProduct18Code[1]
4,1,0x54,0,製品18桁コードucProduct18Code[2]
5,1,0x58,0,製品18桁コードucProduct18Code[3]
6,1,0x2d,0,製品18桁コードucProduct18Code[4]
7,1,0x34,0,製品18桁コードucProduct18Code[5]
8,1,0x30,0,製品18桁コードucProduct18Code[6]
9,1,0x30,0,製品18桁コードucProduct18Code[7]
10,1,0x30,0,製品18桁コードucProduct18Code[8]
11,1,0x30,0,製品18桁コードucProduct18Code[9]
12,1,0x30,0,製品18桁コードucProduct18Code[10]
13,1,0x30,0,製品18桁コードucProduct18Code[11]
14,1,0x30,0,製品18桁コードucProduct18Code[12]
15,1,0x30,0,製品18桁コードucProduct18Code[13]
16,1,0x30,0,製品18桁コードucProduct18Code[14]
17,1,0x30,0,製品18桁コードucProduct18Code[15]
18,1,0x30,0,製品18桁コードucProduct18Code[16]
19,1,0x30,0,製品18桁コードucProduct18Code[17]
20,1,0x00,0,製品18桁コードucProduct18Code[18]
21,1,0x00,0,製品18桁コードucProduct18Code[19]
22,1,0x00,0,シリアルナンバー8桁ucSerial[0]
23,1,0x00,0,シリアルナンバー8桁ucSerial[1]
24,1,0x00,0,シリアルナンバー8桁ucSerial[2]
25,1,0x00,0,シリアルナンバー8桁ucSerial[3]
26,1,0x00,0,シリアルナンバー8桁ucSerial[4]
27,1,0x00,0,シリアルナンバー8桁ucSerial[5]
28,1,0x00,0,シリアルナンバー8桁ucSerial[6]
29,1,0x00,0,シリアルナンバー8桁ucSerial[7]
30,1,0x00,0,シリアルナンバー8桁ucSerial[8]
31,1,0x00,0,シリアルナンバー8桁ucSerial[9]
32,1,0x00,0,シリアルナンバー8桁ucSerial[10]
33,1,0x00,0,シリアルナンバー8桁ucSerial[11]
34,1,0,0,ホスト名[0]
35,1,0,0,ホスト名[1]
36,1,0,0,ホスト名[2]
37,1,0,0,ホスト名[3]
38,1,0,0,ホスト名[4]
39,1,0,0,ホスト名[5]
40,1,0,0,ホスト名[6]
