-3333,0x8011,GTX EEPROM TEMPLATE,0x20201001,設定値
0,4,200,1,LCD バックライト
1,4,3,2,音量
2,4,0,1,表示言語
3,4,0,1,温度表示単位(0:華氏 / 1:摂氏)
4,4,0,2,ジョブ削除モード
5,4,6,2,片方向印字フラグ（0:両方向 2:片方向(forward) 4:片方向(Backward) 6:印刷データ内の設定に従う）
6,4,24,2,オートパージ実行間隔(印刷枚数)
7,4,21,2,印刷中フラッシング頻度
8,4,11,2,オートパージ設定
9,4,2,1,印字前フラッシング吐出量(1:少なめ / 2:標準 / 3:多め)
10,4,0,2,印字中CRを動かす前のディレイ。0=デフォルト / 0未満=ディレイなし / 1以上=指定値[ms] 
11,4,4,2,ログ記録レベル
12,4,0,1,GT-341モード(0:白休止モードoff / 1:白休止モードon)
13,1,1,1,流路切替ソレノイドの配管パターン  [0]:旧流路  [1]:新流路
14,1,1,1,定期パージ時のパージ種別 [0]:洗浄パージ [1]:ノーマルパージ [2]:パワフルパージ
15,1,0,1,循環ポンプのギヤの新旧タイプ [0]:新型（商品試作）  [1]：旧型（機能試作）
16,1,0,1,朝メンテ（標準）設定[0]:ラストは洗浄NP [1]：ラストは洗浄PP
17,1,0,1,朝メンテ（強力）設定[0]:ラストは洗浄NP [1]：ラストは洗浄PP
18,1,0,1,0: IPアドレスを手動で設定 / 1:IPアドレスを自動取得
19,1,3,1,スモール吸引後のキャップ開空吸引 ucSmallKyuinOpenKyuin
20,1,0,1,スモール吸引後のキャップ閉空吸引 ucSmallKyuinCloseKyuin
21,1,0,1,IPアドレス[0]
22,1,0,1,IPアドレス[1]
23,1,0,1,IPアドレス[2]
24,1,0,1,IPアドレス[3]
25,4,0,0,サブネットマスク値
26,1,0,1,デフォルトゲートウェイ[0]
27,1,0,1,デフォルトゲートウェイ[1]
28,1,0,1,デフォルトゲートウェイ[2]
29,1,0,1,デフォルトゲートウェイ[3]
30,4,1,2,受信中印刷無効フラグ(0:有効 / 1:無効)
31,4,0,1,自動画面消去時間 0;自動消去しない 1:５分 2:１０分 3:１５分 4:３０分
32,4,336,1,白印刷をするときに使用するノズル数
33,4,1,1,CMYKのサブタンクに自動充填するかどうかのフラグ(0:しない 1:する)
34,4,1,1,インクカートリッジの有り無しセンサーのチェックを 0：しない 1：する
35,1,1,1,オートパージ開始時期 0:印刷前 / 1:印刷後
36,1,0,1,メニュータイムアウト時間設定 0:１分 / 1:３分 / 2:５分
37,1,0,1,低温時の印刷設定　0:有効、1:無効
38,1,0,1,プレビュー描画方向　0:上向き、1:下向き
39,1,0,1,ファイル名表示設定　0:ファイル名を優先的に表示する / 1:ジョブネームを優先的に表示する
40,1,0,1,印刷待機を有効にする
41,1,0,1,テクニカル保守点検アラーム表示設定　0:仕向地による 1:表示する 2:表示しない
42,1,0,1,自動マルチパス設定 ( 0:通常 / 1:多め / 2:少なめ / 3:常にON / 4:常にOFF)
43,1,0,1,メンテナンスをともなう周期動作停止
